source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,文字列から指定された文字の最初と最後の出現を削除する Python 関数を作成します。,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","def remove_first_and_last_occurrence(string, character):
    # Find the first occurrence of the character
    first_index = string.find(character)
    
    # Find the last occurrence of the character
    last_index = string.rfind(character)
    
    # Check if both occurrences exist
    if first_index != -1 and last_index != -1:
        # Remove the first occurrence
        string = string[:first_index] + string[first_index+1:]
        
        # Adjust the index of the last occurrence
        if last_index > first_index:
            last_index -= 1
        
        # Remove the last occurrence
        string = string[:last_index] + string[last_index+1:]
    
    return string"
Benchmark Questions Verification V2.ipynb,12,指定された行列を行の合計に従って昇順に並べ替える関数を作成します。,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","def sort_matrix_by_row_sum(matrix):
    row_sums = [sum(row) for row in matrix]
    sorted_indices = sorted(range(len(row_sums)), key=lambda x: row_sums[x])
    sorted_matrix = [matrix[i] for i in sorted_indices]
    return sorted_matrix"
Benchmark Questions Verification V2.ipynb,14,三角柱の体積を求める Python 関数を作成します。,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","def calculate_triangular_prism_volume(base_length, base_width, height):
    base_area = (base_length * base_width) / 2
    volume = base_area * height
    return volume"
Benchmark Questions Verification V2.ipynb,16,入力文字列にアンダースコアで結合された一連の小文字が含まれる場合は true を返し、それ以外の場合は false を返す関数を作成します。,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","def contains_series_of_lowercase(string):
    # Split the string by underscores
    parts = string.split('_')
    
    # Check if each part is a series of lowercase letters
    for part in parts:
        if not part.islower():
            return False
    
    return True"
Benchmark Questions Verification V2.ipynb,17,入力として辺の長さを指定すると、正方形の周囲長を返す関数を作成します。,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","def perimeter(length):
    return 4 * length"
Benchmark Questions Verification V2.ipynb,18,2 番目の文字列に存在する文字を最初の文字列から削除する関数を作成します。,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","def remove_characters(string1, string2):
    result = """"
    for char in string1:
        if char not in string2:
            result += char
    return result"
Benchmark Questions Verification V2.ipynb,19,指定された整数の配列に重複する要素が含まれているかどうかを確認する関数を作成します。,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","def has_duplicates(arr):
    return len(arr) != len(set(arr))"
Benchmark Questions Verification V2.ipynb,20,指定された数字がウッドボールかどうかを確認する関数を作成します。,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","def is_woodall_number(n):
    if n <= 0:
        return False
    k = 0
    while True:
        woodall = k * (2**k) - 1
        if woodall == n:
            return True
        elif woodall > n:
            return False
        k += 1"
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,指定された数値がその逆の 2 倍より 1 小さいかどうかを確認する Python 関数を作成します。,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","def is_less_than_double(n):
    return n < (2 * n) - 1"
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,与えられた数字のリストで形成できる最大の数値を見つける Python 関数を作成します。,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","def find_largest_number(numbers):
    numbers = [str(num) for num in numbers]
    numbers.sort(reverse=True)
    largest_number = int("""".join(numbers))
    return largest_number"
